04:41:25 umidade=1020.0 chuva=696.0 temperatura=31.0 vazao=0.0 acao=desligar
04:41:36 umidade=1023.0 chuva=704.0 temperatura=31.0 vazao=0.0 acao=ligar
04:41:46 umidade=1023.0 chuva=704.0 temperatura=31.0 vazao=0.0 acao=ligar
04:41:56 umidade=1023.0 chuva=705.0 temperatura=31.0 vazao=0.0 acao=ligar
04:42:06 umidade=1023.0 chuva=704.0 temperatura=33.0 vazao=0.0 acao=ligar
04:42:16 umidade=1023.0 chuva=704.0 temperatura=33.0 vazao=0.0 acao=ligar
04:42:26 umidade=1023.0 chuva=705.0 temperatura=31.0 vazao=0.0 acao=ligar
04:42:36 umidade=1023.0 chuva=314.0 temperatura=31.0 vazao=0.0 acao=ligar
04:42:46 umidade=1023.0 chuva=350.0 temperatura=31.0 vazao=0.0 acao=desligar
04:42:57 umidade=1023.0 chuva=353.0 temperatura=31.0 vazao=0.0 acao=desligar
04:43:07 umidade=1023.0 chuva=356.0 temperatura=31.0 vazao=0.0 acao=desligar
04:43:17 umidade=1023.0 chuva=209.0 temperatura=31.0 vazao=0.0 acao=desligar
04:43:27 umidade=1023.0 chuva=694.0 temperatura=31.0 vazao=0.0 acao=desligar
04:43:37 umidade=1023.0 chuva=699.0 temperatura=31.0 vazao=0.0 acao=ligar
04:43:47 umidade=1023.0 chuva=701.0 temperatura=31.0 vazao=0.0 acao=ligar
04:43:57 umidade=1023.0 chuva=701.0 temperatura=31.0 vazao=0.0 acao=ligar
04:44:07 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
04:44:17 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
04:44:28 umidade=1015.0 chuva=702.0 temperatura=32.0 vazao=0.0 acao=ligar
04:44:38 umidade=998.0 chuva=704.0 temperatura=32.0 vazao=0.0 acao=ligar
04:44:48 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
04:44:58 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
04:45:08 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
04:45:18 umidade=688.0 chuva=704.0 temperatura=32.0 vazao=0.0 acao=ligar
04:45:29 umidade=679.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=desligar
04:45:39 umidade=679.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=desligar
04:45:49 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=desligar
04:46:00 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
04:46:10 umidade=1023.0 chuva=703.0 temperatura=32.0 vazao=0.0 acao=ligar
